documentid,property,value
1898800,电费,164
1902900,评估费,1000
1902900,租金,80000
1902906,住院伙食补助费,96
1902906,伙食补助费,96
1902906,车辆损失费,223700
1902906,车辆损失,223700
1902906,经济损失,8955.20
1902906,护理费,499
1902906,误工费,2899
1902906,交通费,100
1902906,评估费,3803
1902906,损失费,223700
1902906,损失费,5150
1902906,复印费,15
1902906,交通费,100
1902906,医疗费,8955.20
1903996,透支本金,35972.61
1903996,本金,35972.61
1904006,透支本金,2442.15
1904006,滞纳金,141.51
1904006,滞纳金,9
1904006,服务费,9
1904006,本金,2442.15
1904011,透支本金,1988.72
1904011,滞纳金,115.95
1904011,滞纳金,2461.53
1904011,本金,1988.72
1904015,透支本金,2000
1904015,滞纳金,115.99
1904015,滞纳金,2735.75
1904015,本金,2000
1904021,透支本金,1981.20
1904021,滞纳金,112.66
1904021,滞纳金,2739.32
1904021,本金,1981.20
1904025,透支本金,1990
1904025,滞纳金,118.31
1904025,滞纳金,65.49
1904025,服务费,6
1904025,本金,1990
1904030,透支本金,1979.25
1904030,滞纳金,114.10
1904030,滞纳金,2732.13
1904030,本金,1979.25
1904035,透支本金,1950
1904035,滞纳金,114.01
1904035,滞纳金,2569.28
1904035,本金,1950
1906660,违约金,634303
1906666,违约金,348984
1906672,违约金,320613
1906696,违约金,433937
1906702,违约金,435799
1906708,违约金,565736
1906720,违约金,463735
1906732,违约金,426487
1906739,违约金,576487
1906745,违约金,594502
1906751,违约金,524738
1906763,违约金,550154
1909929,借款,10000000
1911928,伙食补助费,168
1911928,护理费,1278
1911928,误工费,323.4
1911928,医疗费,10481.11
1913533,借款本金,90000
1913533,借款本金,90000
1913533,借款,90000
1913533,借款,90000
1913533,本金,90000
1913533,本金,90000
1914895,车辆损失,2000
1914895,车辆损失,3979
1914895,拖车费,250
1914895,车费,250
1914895,各项损失,1075
1914989,精神损害抚慰金,6000
1914989,精神损害抚慰金,6000
1914989,精神损害抚慰金,2000
1914989,各项损失,101128.01
1914989,借款,4000
1917481,借款本金,120973.69
1917481,滞纳金,2860
1917481,借款,120973.69
1917481,本金,120973.69
1917481,律师费,4787
1920542,支行借款本金,67958.68
1920542,本息合计,82737.20
1920542,借款本金,67958.68
1920542,借款,67958.68
1920542,本息,82737.20
1920542,本金,67958.68
1920542,借款本金,67958.68
1920542,借款,67958.68
1920542,本金,67958.68
1920548,支行借款本金,98663.80
1920548,本息合计,133297.62
1920548,借款本金,98663.80
1920548,借款,98663.80
1920548,本息,133297.62
1920548,本金,98663.80
1920548,借款本金,98663.80
1920548,借款,98663.80
1920548,本金,98663.80
1920554,支行借款本金,40000
1920554,本息合计,50951.66
1920554,借款本金,40000
1920554,借款,40000
1920554,本息,50951.66
1920554,本金,40000
1920554,借款本金,40000
1920554,借款,40000
1920554,本金,40000
1920730,违约金,632543
1922878,各项损失,10021.09
1924575,车辆维修费,73690
1924575,评估费,3700
1924575,赔偿金,88190
1924575,维修费,73690
1924581,赔偿金,130500
1924581,维修费,126000
1924581,维修费,4500
1924862,伤残赔偿金,16178
1924862,精神抚慰金,7500
1924862,护理费,3540
1924862,交通费,800
1924862,鉴定费,1050
1924862,交通费,800
1924862,赔偿金,16178
1924862,车损,500
1924911,精神抚慰金,2000
1924911,护理费,4140
1924911,误工费,6900
1924911,鉴定费,200
1924911,车损,100
1924958,工程款,22575000
1926518,抚养费,300
1926518,借款,10000
1927851,支付利息,300000
1927851,借款,400000
1927851,借款,100000
1927851,月息,300000
1933060,被扶养人生活费,5462.5
1933060,伤残赔偿金,65316
1933060,精神抚慰金,5000
1933060,医疗费用,10000
1933060,护理费,4831.44
1933060,误工费,18600
1933060,交通费,300
1933060,生活费,5462.5
1933060,交通费,300
1933060,赔偿金,65316
1933060,医疗费,10000
1933060,医疗费,10000
1933060,住院伙食补助费,1400
1933060,伙食补助费,1400
1933060,鉴定费,1480
1933060,医疗费,74656.93
1933060,垫付医疗费,73000
1933060,医疗费,73000
1933521,本金,2000000
1933545,支行借款本金,53692.25
1933545,借款本金,53692.25
1933545,滞纳金,53692.25
1933545,滞纳金,40425.83
1933545,滞纳金,40425.83
1933545,借款,53692.25
1933545,本金,53692.25
1933545,本金,40425.83
1933645,财产损失,2000
1933645,车辆损失,2000
1933645,车辆损失,49250
1933645,评估费,2500
1933651,精神损害抚慰金,5000
1933651,被扶养人生活费,5331.38
1933651,残疾赔偿金,30810
1933651,护理费,780
1933651,误工费,24078
1933651,交通费,150
1933651,生活费,5331.38
1933651,交通费,150
1933651,赔偿金,30810
1933651,医疗费,10000
1933651,医疗费,10000
1933651,住院伙食补助费,1000
1933651,伙食补助费,1000
1933651,鉴定费,2020
1933651,医疗费,53043.72
1933657,残疾赔偿金,90000
1933657,财产损失,1500
1933657,赔偿金,20000
1933657,赔偿金,90000
1933657,医疗费,10000
1933657,医疗费,10000
1933657,车损,1500
1933657,被抚养人生活费,79950
1933657,残疾赔偿金,171264
1933657,护理费,11893.06
1933657,护理费,1500
1933657,误工费,15413.28
1933657,误工费,1500
1933657,交通费,1000
1933657,鉴定费,980
1933657,营养费,3800
1933657,评估费,200
1933657,生活费,79950
1933657,交通费,1000
1933657,赔偿金,171264
1933657,医疗费,10099.99
1933657,维修费,25750
1933657,车费,32
1933657,检费,300
1935293,借款本金,43113.31
1935293,借款,43113.31
1935293,本金,43113.31
1935293,支行借款本金,43113.31
1935293,借款本金,43113.31
1935293,借款,43113.31
1935293,本金,43113.31
1935548,支行借款本金,29000
1935548,借款本金,29000
1935548,借款,29000
1935548,借款,53607.7
1935548,本金,29000
1939252,本息合计,31571.42
1939252,借款本金,1000
1939252,借款,1000
1939252,本息,31571.42
1939252,本金,1000
1940370,逾期付款违约金,27720
1940370,违约金,27720
1940431,支行借款本金,80000
1940431,借款本金,80000
1940431,借款,80000
1940431,本金,80000
1942250,支行借款本金,55360.83
1942250,借款本金,55360.83
1942250,借款,55360.83
1942250,本金,55360.83
1942618,本息合计,44965.61
1942618,借款本金,20000
1942618,借款,20000
1942618,本息,44965.61
1942618,本金,20000
1943567,贷款本金,225210.32
1943567,本金,225210.32
1943573,贷款本金,1500090.86
1943573,本金,1500090.86
1944227,本息合计,690925.09
1944227,借款本金,298000
1944227,借款,298000
1944227,本息,690925.09
1944227,本金,298000
1944688,各项经济损失,22651
1944688,经济损失,22651
1945047,本息合计,27065.41
1945047,借款本金,990
1945047,借款,990
1945047,本息,27065.41
1945047,本金,990
1945100,违约金,6000
1945118,借款本金,49999.91
1945118,借款,49999.91
1945118,本金,49999.91
1945118,支行借款本金,49999.91
1945118,借款本金,49999.91
1945118,借款,49999.91
1945118,本金,49999.91
1945125,借款本金,50000
1945125,借款,50000
1945125,本金,50000
1945125,支行借款本金,50000
1945125,借款本金,50000
1945125,借款,50000
1945125,本金,50000
1945130,借款本金,50000
1945130,借款,50000
1945130,本金,50000
1945130,支行借款本金,50000
1945130,借款本金,50000
1945130,借款,50000
1945130,本金,50000
1945140,借款本金,50000
1945140,借款,50000
1945140,本金,50000
1945140,支行借款本金,50000
1945140,借款本金,50000
1945140,借款,50000
1945140,本金,50000
1945145,借款本金,50000
1945145,借款,50000
1945145,本金,50000
1945145,支行借款本金,50000
1945145,借款本金,50000
1945145,借款,50000
1945145,本金,50000
1945673,借款本金,9916639.81
1945673,借款,9916639.81
1945673,本金,9916639.81
1945673,律师费,150000
1945707,滞纳金,6304.95
1945707,本金,126099.06
1945707,欠款,126099.06
1947250,信用卡欠款本金,6766.48
1947250,滞纳金,273.37
1947250,服务费,21
1947250,本金,6766.48
1947250,欠款,6766.48
1947250,信用卡欠款本金,30471.56
1947250,滞纳金,1523.58
1947250,服务费,21
1947250,本金,30471.56
1947250,欠款,30471.56
1947250,信用卡欠款本金,7376.52
1947250,滞纳金,323.16
1947250,服务费,12
1947250,本金,7376.52
1947250,欠款,7376.52
1947250,信用卡欠款本金,6752.66
1947250,滞纳金,160.9
1947250,服务费,21
1947250,本金,6752.66
1947250,欠款,6752.66
1947250,信用卡欠款本金,5986
1947250,滞纳金,95.77
1947250,服务费,12
1947250,本金,5986
1947250,欠款,5986
1947250,信用卡欠款本金,6800
1947250,滞纳金,91.55
1947250,服务费,24
1947250,本金,6800
1947250,欠款,6800
1947261,本金,7877482
1947266,信用卡欠款本金,209657.63
1947266,滞纳金,10482.88
1947266,本金,209657.63
1947266,欠款,209657.63
1947271,滞纳金,21200.82
1947271,本金,363596
1947271,本金,60420.31
1947271,欠款,363596
1947276,信用卡欠款本金,48530.69
1947276,滞纳金,2426.53
1947276,本金,48530.69
1947276,欠款,48530.69
1947281,信用卡欠款本金,26113.86
1947281,滞纳金,299.43
1947281,服务费,15
1947281,本金,26113.86
1947281,欠款,26113.86
1947281,信用卡欠款本金,50502.48
1947281,滞纳金,1449.12
1947281,服务费,15
1947281,本金,50502.48
1947281,欠款,50502.48
1947281,信用卡欠款本金,29722.84
1947281,滞纳金,566.87
1947281,服务费,12
1947281,本金,29722.84
1947281,欠款,29722.84
1947281,信用卡欠款本金,98384
1947281,滞纳金,4919.2
1947281,本金,98384
1947281,欠款,98384
1947281,信用卡欠款本金,105893
1947281,滞纳金,5294.65
1947281,本金,105893
1947281,欠款,105893
1947281,信用卡欠款本金,40894.79
1947281,滞纳金,2044.74
1947281,本金,40894.79
1947281,欠款,40894.79
1947281,信用卡欠款本金,59489.35
1947281,滞纳金,1239.73
1947281,本金,59489.35
1947281,欠款,59489.35
1947281,信用卡欠款本金,3479.56
1947281,本金,3479.56
1947281,欠款,3479.56
1947281,信用卡欠款本金,67184.35
1947281,滞纳金,1589.39
1947281,服务费,15
1947281,本金,67184.35
1947281,欠款,67184.35
1947281,信用卡欠款本金,31987.29
1947281,滞纳金,1599.36
1947281,服务费,15
1947281,本金,31987.29
1947281,欠款,31987.29
1947292,信用卡欠款本金,87939
1947292,滞纳金,4396.95
1947292,本金,87939
1947292,欠款,87939
1947292,信用卡欠款本金,35973.2
1947292,滞纳金,1798.66
1947292,服务费,15
1947292,本金,35973.2
1947292,欠款,35973.2
1947292,信用卡欠款本金,62785.96
1947292,滞纳金,3139.3
1947292,本金,62785.96
1947292,欠款,62785.96
1947292,信用卡欠款本金,44631.9
1947292,滞纳金,696.49
1947292,服务费,12
1947292,本金,44631.9
1947292,欠款,44631.9
1947292,信用卡欠款本金,34122.93
1947292,滞纳金,1706.15
1947292,本金,34122.93
1947292,欠款,34122.93
1947292,信用卡欠款本金,54867.78
1947292,滞纳金,1305.27
1947292,服务费,15
1947292,本金,54867.78
1947292,欠款,54867.78
1947292,信用卡欠款本金,34375
1947292,滞纳金,1718.75
1947292,服务费,6
1947292,本金,34375
1947292,欠款,34375
1947292,信用卡欠款本金,67167.39
1947292,滞纳金,3358.37
1947292,本金,67167.39
1947292,欠款,67167.39
1947292,信用卡欠款本金,37313.69
1947292,滞纳金,1865.68
1947292,本金,37313.69
1947292,欠款,37313.69
1947297,信用卡欠款本金,18117.46
1947297,滞纳金,905.87
1947297,本金,18117.46
1947297,欠款,18117.46
1947302,信用卡欠款本金,24853.9
1947302,滞纳金,1242.7
1947302,本金,24853.9
1947302,欠款,24853.9
1947307,信用卡欠款本金,173766.27
1947307,滞纳金,8688.31
1947307,本金,173766.27
1947307,欠款,173766.27
1947315,信用卡欠款本金,39472.42
1947315,滞纳金,2374.68
1947315,本金,39472.42
1947315,欠款,39472.42
1947318,信用卡欠款本金,27923.9
1947318,滞纳金,1396.2
1947318,本金,27923.9
1947318,欠款,27923.9
1947326,信用卡欠款本金,32920.84
1947326,滞纳金,1646.04
1947326,本金,32920.84
1947326,欠款,32920.84
1947330,信用卡欠款本金,13496.59
1947330,滞纳金,623.39
1947330,本金,13496.59
1947330,欠款,13496.59
1947330,信用卡欠款本金,14108.28
1947330,滞纳金,852.4
1947330,本金,14108.28
1947330,欠款,14108.28
1947330,信用卡欠款本金,75972.58
1947330,滞纳金,668.73
1947330,本金,75972.58
1947330,欠款,75972.58
1947330,信用卡欠款本金,14924.26
1947330,滞纳金,586.98
1947330,本金,14924.26
1947330,欠款,14924.26
1947330,信用卡欠款本金,10000
1947330,滞纳金,207.01
1947330,本金,10000
1947330,欠款,10000
1947330,信用卡欠款本金,14863.92
1947330,滞纳金,858.37
1947330,本金,14863.92
1947330,欠款,14863.92
1947333,信用卡欠款本金,49902.55
1947333,滞纳金,2862.07
1947333,本金,49902.55
1947333,欠款,49902.55
1947925,住院伙食补助费,210
1947925,伙食补助费,210
1947925,误工费,2968
1947925,施救费,80
1947925,停车费,160
1947925,医疗费,2009.80
1947925,车费,160
1952413,逾期付款违约金,133506
1952413,违约金,133506
1953337,住院伙食补助费,180
1953337,伙食补助费,180
1953337,护理费,1155
1953337,误工费,1440
1953337,医疗费,7167.64
1953337,车损,50
1953383,护理费,16978.5
1953383,误工费,16978.5
1953383,交通费,16978.5
1953383,交通费,16978.5
1953383,医疗费,16978.5
1953383,护理费,16978.5
1953383,误工费,16978.5
1953383,交通费,16978.5
1953383,交通费,16978.5
1953383,医疗费,16978.5
1953383,住院伙食补助费,9691.4
1953383,伙食补助费,9691.4
1953383,医疗费,9691.4
1953383,住院伙食补助费,7268.6
1953383,伙食补助费,7268.6
1953383,医疗费,7268.6
1953494,信用卡欠款本金,49237.38
1953494,滞纳金,2876.11
1953494,本金,49237.38
1953494,欠款,49237.38
1953500,信用卡欠款本金,69827.77
1953500,滞纳金,3871.28
1953500,本金,69827.77
1953500,欠款,69827.77
1953500,律师费,3000
1953506,贷款本金,52863.45
1953506,滞纳金,2785.32
1953506,本金,52863.45
1953512,贷款本金,86640.59
1953512,本金,86640.59
1953512,律师费,3000
1953518,信用卡欠款本金,99710.79
1953518,滞纳金,3529.15
1953518,本金,99710.79
1953518,欠款,99710.79
1953524,贷款本金,95919.73
1953524,滞纳金,4808.04
1953524,律师费,5000
1953524,本金,95919.73
1953530,信用卡欠款本金,26750.39
1953530,滞纳金,1537.16
1953530,本金,26750.39
1953530,欠款,26750.39
1953530,律师费,2000
1953536,贷款本金,32523.82
1953536,滞纳金,2979.46
1953536,律师费,2000
1953536,本金,32523.82
1953542,信用卡欠款本金,39673.47
1953542,滞纳金,2314.75
1953542,本金,39673.47
1953542,欠款,39673.47
1953542,信用卡欠款本金,49236.01
1953542,滞纳金,2884.06
1953542,本金,49236.01
1953542,欠款,49236.01
1953542,信用卡欠款本金,31497.55
1953542,滞纳金,1887.85
1953542,本金,31497.55
1953542,欠款,31497.55
1953542,信用卡欠款本金,19629.47
1953542,滞纳金,1041.44
1953542,本金,19629.47
1953542,欠款,19629.47
1953542,信用卡欠款本金,17625.33
1953542,滞纳金,1022.66
1953542,本金,17625.33
1953542,欠款,17625.33
1953542,信用卡欠款本金,31484.68
1953542,滞纳金,2419.35
1953542,本金,31484.68
1953542,欠款,31484.68
1953542,信用卡欠款本金,49403.08
1953542,滞纳金,2863.14
1953542,本金,49403.08
1953542,欠款,49403.08
1953542,信用卡欠款本金,43575.92
1953542,滞纳金,2583.11
1953542,本金,43575.92
1953542,欠款,43575.92
1953542,信用卡欠款本金,91294
1953542,滞纳金,5267.93
1953542,本金,91294
1953542,欠款,91294
1953542,信用卡欠款本金,59633.14
1953542,滞纳金,3484.86
1953542,本金,59633.14
1953542,欠款,59633.14
1953548,贷款本金,29752.12
1953548,滞纳金,301.21
1953548,律师费,2000
1953548,本金,29752.12
1953551,保全费,48
1953554,信用卡欠款本金,98741.77
1953554,滞纳金,5446.82
1953554,本金,98741.77
1953554,欠款,98741.77
1953559,贷款本金,42104.61
1953559,滞纳金,2656.35
1953559,律师费,3000
1953559,本金,42104.61
1953565,贷款本金,441561.51
1953565,滞纳金,2962.84
1953565,本金,441561.51
1953565,律师费,5000
1953571,信用卡欠款本金,19629.05
1953571,滞纳金,1070.07
1953571,本金,19629.05
1953571,欠款,19629.05
1953571,律师费,2000
1953606,抚养费,1500
1953606,抚养费,3600
1953606,抚养费,1500
1953606,抚养费,3600
1953606,欠款,3700
1953607,贷款本金,17500000
1953607,本金,17500000
1953607,本金,7384259.37
1953607,律师费,50000
1953618,信用卡欠款本金,499628.18
1953618,滞纳金,4497.29
1953618,本金,499628.18
1953618,欠款,499628.18
1953637,本金,2307408.25
1953637,贷款本金,10000000
1953637,本金,10000000
1953637,律师费,305074
1953926,借款本金,1
1953926,借款,1
1953926,本金,1
1954000,住院伙食补助费,36
1954000,伙食补助费,36
1954000,护理费,346
1954000,误工费,5100
1954000,交通费,50
1954000,交通费,50
1954000,医疗费,3157.81
1954000,拖车费,100
1954000,车费,100
1954000,车损,1105
1955462,车辆损失,2000
1955462,财产损失,59700
1955462,施救费,700
1955594,借款本金,19834.41
1955594,借款,19834.41
1955594,本金,19834.41
1956243,借款本金,108000
1956243,借款,108000
1956243,本金,108000
1956243,本金,60000
1956243,本金,48000
1956243,借款,60000
1956243,本金,60000
1956502,贷款本金,92313
1956502,滞纳金,1674.75
1956502,还款,92313
1956502,本金,92313
1956502,本金,13676
1956502,本金,92313
1956508,信用卡欠款本金,239228.97
1956508,滞纳金,11961.45
1956508,本金,239228.97
1956508,欠款,239228.97
1956513,信用卡欠款本金,22065.83
1956513,滞纳金,1103.29
1956513,本金,22065.83
1956513,欠款,22065.83
1956530,信用卡欠款本金,29823.37
1956530,滞纳金,1491.17
1956530,本金,29823.37
1956530,欠款,29823.37
1956542,信用卡欠款本金,9881.49
1956542,滞纳金,590.71
1956542,服务费,20
1956542,本金,9881.49
1956542,欠款,9881.49
1956548,信用卡欠款本金,49954.59
1956548,滞纳金,2374.8
1956548,服务费,10
1956548,本金,49954.59
1956548,欠款,49954.59
1956599,各项损失,120000
1956599,各项损失,1841.65
1956746,支行借款本金,30000
1956746,借款本金,30000
1956746,借款,30000
1956746,本金,30000
1956746,欠款,30000
1956806,住院伙食补助费,120000
1956806,伙食补助费,120000
1956806,残疾赔偿金,120000
1956806,交通费,120000
1956806,交通费,120000
1956806,赔偿金,120000
1956806,住院伙食补助费,144780
1956806,伙食补助费,144780
1956806,残疾赔偿金,144780
1956806,鉴定费,144780
1956806,赔偿金,144780
1956806,保全费,300
1966117,被扶养人生活费,111804
1966117,死亡赔偿金,300724
1966117,经济损失,300724
1966117,交通费,500
1966117,丧葬费,21418.5
1966117,生活费,111804
1966117,交通费,500
1966117,赔偿金,300724
1966117,鉴定费,2000
1973694,住院伙食补助费,11915.47
1973694,伙食补助费,11915.47
1973694,交通费,11915.47
1973694,交通费,11915.47
1973694,各项损失,8801.10
1974048,经济损失,7216
1974048,护理费,1309.3
1974048,误工费,3491.5
1974048,交通费,300
1974048,交通费,300
1974048,医疗费,7216
1974048,经济损失,6293.8
1976159,精神抚慰金,3693.60
1976159,残疾赔偿金,3693.60
1976159,护理费,3693.60
1976159,赔偿金,3693.60
1976159,精神抚慰金,94182.10
1976159,残疾赔偿金,94182.10
1976159,赔偿金,94182.10
1976917,住院伙食补助费,84
1976917,伤残赔偿金,20586
1976917,伙食补助费,84
1976917,护理费,1633.33
1976917,误工费,14000
1976917,交通费,300
1976917,交通费,300
1976917,赔偿金,20586
1976917,医疗费,3625
1976917,经济损失,1800
1976917,鉴定费,1800
1976917,鉴定费,1500
1977492,赡养费,2500
1977492,赡养费,1250
1977492,赡养费,1250
1977492,赡养费,2500
1977492,医疗费,5860
1977620,住院伙食补助费,2424
1977620,后续治疗费,30000
1977620,伙食补助费,2424
1977620,精神抚慰金,10000
1977620,残疾赔偿金,515100
1977620,损失医疗费,280804.04
1977620,经济损失,280804.04
1977620,治疗费,30000
1977620,护理费,57013.81
1977620,护理费,219000
1977620,交通费,5000
1977620,鉴定费,2200
1977620,交通费,5000
1977620,赔偿金,515100
1977620,医疗费,280804.04
1977620,医疗费,10000
1977620,医疗费,27918.40
1979095,残疾赔偿金,26448.80
1979095,经济损失,13555.08
1979095,护理费,600
1979095,鉴定费,1300
1979095,赔偿金,26448.80
1979095,医疗费,13555.08
1979125,车损,2000
1979125,施救费,2600
1979125,车损,64355
1979240,车辆维修费,95367.12
1979240,精神抚慰金,95367.12
1979240,各项损失,95367.12
1979240,维修费,95367.12
1983136,住院期间伙食补助费,42
1983136,伤残赔偿金,54672.13
1983136,伙食补助费,42
1983136,护理费,4144
1983136,误工费,13200
1983136,交通费,200
1983136,医药费,4625.14
1983136,交通费,200
1983136,赔偿金,54672.13
1983136,车损,1200
1983136,鉴定费,2100
1983136,医药费,4883.14
1985364,借款本金,50000
1985364,借款本金,15000
1985364,借款本金,35000
1985364,借款,50000
1985364,借款,15000
1985364,借款,35000
1985364,本金,50000
1985364,本金,15000
1985364,本金,35000
1985712,滞纳金,12348.04
1985712,滞纳金,659.5
1985712,本息,12348.04
1985712,本金,9545.63
1985712,欠款,12348.04
1985718,透支本金,13083.18
1985718,滞纳金,4236.05
1985718,本金,13083.18
1985736,借款本金,139412
1985736,滞纳金,7195.15
1985736,借款,139412
1985736,本金,139412
1985742,滞纳金,1168.15
1985742,还款,16920.89
1985742,本金,16920.89
1985766,滞纳金,1030.27
1985766,还款,19644.76
1985766,本金,19644.76
1987993,借款本金,10500000
1987993,借款,10500000
1987993,本金,10500000
1987993,借款本金,4339140.43
1987993,借款,4339140.43
1987993,本金,4339140.43
1987993,借款本金,10000000
1987993,借款,10000000
1987993,本金,10000000
1987993,借款本金,8000000
1987993,借款,8000000
1987993,本金,8000000
1987993,借款本金,2000000
1987993,借款,2000000
1987993,本金,2000000
1987993,借款本金,5000000
1987993,借款,5000000
1987993,本金,5000000
1987993,律师费,574753
1987993,价款,23669500
1987993,价款,50425000
1988016,购房款,147500
1988016,房款,147500
1988022,购房款,32500
1988022,房款,32500
1990404,本金,50000
1990404,本金,50000
1991031,借款本金,50000
1991031,借款,50000
1991031,本金,50000
1991471,借款本金,260000
1991471,借款,260000
1991471,本金,260000
1991483,本金,21585.08
1991483,本金,21585.08
1991545,借款本金,800000
1991545,借款,800000
1991545,本金,800000
1991618,本金,47722.6
1991618,本金,47722.6
1991642,本金,25693.38
1991642,本金,25693.38
1991908,借款,50000
1991908,还款,50000
1991908,本金,50000
1992645,住院伙食补助费,10000
1992645,伙食补助费,10000
1992645,营养费,10000
1992645,医疗费,10000
1992645,医疗费,31315.04
1996011,借款本金,50000
1996011,借款,50000
1996011,借款,6397.6
1996011,本金,50000
1996035,借款本金,50000
1996035,借款,50000
1996035,借款,5333.33
1996035,本金,50000
1996094,借款本金,50000
1996094,借款,50000
1996094,借款,6651.09
1996094,本金,50000
1996159,借款本金,50000
1996159,借款,50000
1996159,借款,5850
1996159,本金,50000
1996964,支行借款本金,50000
1996964,借款本金,50000
1996964,借款,50000
1996964,借款,4975.86
1996964,本金,50000
1997023,借款本金,1065700
1997023,借款,1065700
1997023,借款,346885.35
1997023,本金,1065700
1997076,借款本金,50000
1997076,借款,50000
1997076,借款,6596.44
1997076,本金,50000
1997318,借款本金,50000
1997318,借款,50000
1997318,借款,1256.61
1997318,本金,50000
1998874,借款本金,600000
1998874,借款,600000
1998874,借款,30687.62
1998874,本金,600000
1999862,借款本金,80000
1999862,借款,80000
1999862,本金,80000
2000335,残疾赔偿金,33870
2000335,护理费,1980
2000335,误工费,1980
2000335,交通费,200
2000335,交通费,200
2000335,赔偿金,33870
2000335,住院伙食补助费,1600
2000335,伙食补助费,1600
2000335,营养费,1600
2000335,医药费,10810.83
2000335,鉴定费,1000
2000335,拖车费,430
2000335,车费,430
2000841,借款本金,4200000
2000841,借款,4200000
2000841,借款,99644.75
2000841,本金,4200000
2000896,赡养费,3388
2000896,赡养费,1200
2000940,支行借款本金,50000
2000940,借款本金,50000
2000940,借款,50000
2000940,借款,4089.06
2000940,本金,50000
2000998,支行借款本金,50000
2000998,借款本金,50000
2000998,借款,50000
2000998,借款,4560
2000998,本金,50000
2001812,信用卡欠款本金,15337.09
2001812,滞纳金,15337.09
2001812,本金,15337.09
2001812,欠款,15337.09
2003064,本金及利息,123625.76
2003064,借款本金,123625.76
2003064,借款,123625.76
2003064,本金,123625.76
2005107,透支本金,29950.79
2005107,本金,29950.79
2006541,律师代理费,2500
2006626,借款本息,24975
2006626,本息合计,24975
2006626,借款,24975
2006626,本息,24975
2006778,借款,9400
2006778,借款,24360
2007270,违约金,2000
2008361,借款本金,220000
2008361,违约金,51064.1
2008361,借款,220000
2008361,本金,220000
2013507,死亡赔偿金,48000
2013507,死亡赔偿金,189225.26
2013507,死亡赔偿金,198150.17
2013507,赔偿金,48000
2013507,赔偿金,189225.26
2013507,赔偿金,198150.17
2013507,医疗费,189225.26
2013507,医疗费,198150.17
2013507,精神抚慰金,35000
2013868,各项损失,94765.27
2013868,各项损失,56859.16
2013868,各项损失,51382.64
2013868,各项损失,20553.05
2015917,借款本金,6146000
2015917,违约金,1900000
2015917,借款,6146000
2015917,借款,1900000
2015917,借款,4246000
2015917,本金,6146000
2016262,借款本金,3950000
2016262,借款,3950000
2016262,本金,3950000
2016801,精神损害抚慰金,66970.4
2016801,护理费,66970.4
2016801,交通费,66970.4
2016801,交通费,66970.4
2016801,鉴定费,240
2017070,精神损害抚慰金,8000
2017070,误工费,11550
2017082,车辆损失,2000
2017082,车辆损失,59570
2017082,鉴定费,3780
2017082,施救费,3000
2017082,拖车费,5500
2017082,车费,5500
2017082,检费,2000
2017082,车损,3780
2017082,鉴定费,2000
2017832,被抚养人生活费,6776
2017832,残疾赔偿金,51510
2017832,护理费,5266.1
2017832,误工费,12877.5
2017832,交通费,500
2017832,生活费,6776
2017832,交通费,500
2017832,赔偿金,51510
2017832,医疗费,10000
2017832,医疗费,76929.6
2017832,住院伙食补助费,396
2017832,伙食补助费,396
2017832,医疗费,60846.63
2018197,支付利息,600000
2018197,支付利息,215333
2018197,支付利息,85333
2018197,借款,1000000
2018197,借款,400000
2018197,借款本金,895325.10
2018197,借款,895325.10
2018197,借款,895325.10
2018197,本金,895325.10
2022248,借款本金,700000
2022248,借款,700000
2022248,本金,700000
2022248,律师费,23997
2022325,滞纳金,877.40
2022325,本金,37145.39
2023491,借款本金,5000000
2023491,借款,5000000
2023491,本金,5000000
2023491,律师代理费,110936
2023550,借款本金,1346162.58
2023550,借款,1346162.58
2023550,本金,1346162.58
2023550,价款,1780000
2023886,借款本金,29202.77
2023886,滞纳金,11935.89
2023886,借款,29202.77
2023886,本金,29202.77
2027153,各项损失,181049.4
2028427,本金,111359.02
2028427,本金,34932.59
2032526,逾期付款利息,200000
2032526,借款本金,210000
2032526,借款本金,200000
2032526,借款本金,10000
2032526,借款,210000
2032526,借款,200000
2032526,借款,10000
2032526,本金,210000
2032526,本金,200000
2032526,本金,10000
2032526,借款本金,200000
2032526,借款,200000
2032526,本金,200000
2034429,各项损失,156560
2034981,各项损失,3250.9
2035326,借款本金,350000
2035326,借款,350000
2035326,本金,350000
2035326,本金,150000
2035326,本金,50000
2035326,本金,100000
2035326,本金,50000
2036618,医疗费,4797
2041149,各项损失,257193.57
2041418,本金,72241.26
2041418,欠款,72241.26
2041425,本金,6123.46
2041425,欠款,6123.46
2041443,借款本金,4909.7
2041443,借款,4909.7
2041443,本金,4909.7
2041449,本金,12110.55
2041449,欠款,12110.55
2041456,透支本金,5866.65
2041456,本金,5866.65
2041467,透支本金,2375.18
2041467,本金,2375.18
2041734,透支本金,5892.01
2041734,本金,5892.01
2042130,透支款,7651.4
2042130,本金,7651.4
2042996,信用卡欠款本金,31027.34
2042996,本金,31027.34
2042996,欠款,31027.34
2043719,保证金,60000
2044949,违约金,13676
2044949,水电费,53962.94
2044949,租金,82800
2044949,电费,53962.94
2045214,各项经济损失,119837.70
2045214,经济损失,119837.70
2045220,精神损害抚慰金,12000
2045220,残疾赔偿金,25206.72
2045220,护理费,5750.8
2045220,误工费,5758.28
2045220,交通费,890
2045220,交通费,890
2045220,赔偿金,25206.72
2045220,医疗费,10000
